id,symb,attr/f:duration,label
trace001,1,5.2,1
trace001,0,8.0,1
trace001,1,13.5,1
trace002,0,41.1,1
trace002,1,3.4,1
trace002,2,5.0,1
trace003,0,83.1,1
trace004,0,3.1,1
trace004,2,58.4,1
trace004,0,8.2,1
trace004,1,8.9,1
trace005,0,61.8,1
trace006,0,34.1,1
trace006,1,4.8,1
trace006,1,9.3,1
trace006,2,16.8,1
trace007,2,81.9,1
trace007,2,15.5,1
trace008,0,71.7,1
trace008,1,11.6,1
trace008,1,3.1,1
trace008,2,5.8,1
trace009,2,53.3,1
trace009,0,10.0,1
trace009,1,18.4,1
trace010,1,3.1,1
trace010,2,6.9,1
trace010,1,8.6,1
trace010,0,14.3,1
trace011,1,5.6,0
trace011,0,7.0,0
trace011,1,17.4,0
trace011,1,13.5,0
trace012,1,7.9,0
trace012,1,2.7,0
trace012,2,9.7,0
trace012,2,48.9,0
trace013,0,9.9,0
trace013,2,13.5,0
trace013,0,9.5,0
trace013,1,6.9,0
trace013,0,32.6,0
trace013,2,69.1,0
trace014,0,50.9,0
trace014,2,65.6,0
trace015,1,8.3,0
trace016,1,12.9,0
trace016,2,15.6,0
trace016,0,9.6,0
trace016,1,7.4,0
trace017,0,56.7,0
trace017,1,9.2,0
trace018,1,6.3,0
trace018,0,9.4,0
trace018,1,13.3,0
trace018,1,7.4,0
trace019,1,10.3,0
trace019,1,2.7,0
trace019,1,3.6,0
trace020,2,59.8,0
trace020,2,10.8,0
trace020,0,30.9,0
trace020,1,13.9,0
